Gene,Drug,RxNorm,ATC,Guideline,CPICLevel,CPICLevelStatus,PharmGKBLevel,FDALabel,PMID
HLA-DPB1,aspirin,1191,"A01AD05, B01AC06, B01AC56, C10BX01, C10BX02, C10BX04, C10BX05, C10BX06, C10BX08, M01BA03, N02BA01, N02BA51, N02BA71",,C,Provisional,2B,,
CFTR,ataluren,,M09AX03,,C,Provisional,3,,
CYP3A4,atorvastatin,83367,C10AA05,https://cpicpgx.org/guidelines/cpic-guideline-for-statins/,C,Final,,,
CYP3A5,atorvastatin,83367,C10AA05,https://cpicpgx.org/guidelines/cpic-guideline-for-statins/,C,Final,,,
HMGCR,atorvastatin,83367,C10AA05,https://cpicpgx.org/guidelines/cpic-guideline-for-statins/,C,Final,,,
COMT,buprenorphine,1819,"N02AE01, N07BC01",https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/,C,Final,3,,33387367
OPRM1,buprenorphine,1819,"N02AE01, N07BC01",https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/,C,Final,3,,33387367
HLA-B,carbimazole,2020,H03BB01,,C,Provisional,3,,
MTHFR,carboplatin,40048,L01XA02,,C,Provisional,3,,
G6PD,chloramphenicol,2348,"D06AX02, D10AF03, G01AA05, J01BA01, S01AA01, S02AA01, S03AA08",https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,C,Final,3,,36049896
G6PD,chloroquine,2393,P01BA01,https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,C,Final,4,Actionable PGx,36049896
G6PD,chlorpropamide,2404,A10BB02,https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,C,Final,,Actionable PGx,36049896
G6PD,ciprofloxacin,2551,"J01MA02, S01AE03, S02AA15, S03AA07",https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,C,Final,3,,36049896
COMT,citalopram,2556,N06AB04,,C,Provisional,,,
CYP2D6,citalopram,2556,N06AB04,https://cpicpgx.org/guidelines/cpic-guideline-for-ssri-and-snri-antidepressants/,C,Final,3,Informative PGx,37032427
GRIK4,citalopram,2556,N06AB04,,C,Provisional,,,
HTR2A,citalopram,2556,N06AB04,https://cpicpgx.org/guidelines/cpic-guideline-for-ssri-and-snri-antidepressants/,C,Final,3,,37032427
SLC6A4,citalopram,2556,N06AB04,https://cpicpgx.org/guidelines/cpic-guideline-for-ssri-and-snri-antidepressants/,C,Final,4,,37032427
CES1,clopidogrel,32968,B01AC04,,C,Provisional,2B,,
HTR2C,clozapine,2626,N05AH02,,C,Provisional,3,,
MC4R,clozapine,2626,N05AH02,,C,Provisional,3,,
COMT,codeine,2670,"R05DA04, N02AA59, N02AA79",https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/,C,Final,,,33387367
OPRM1,codeine,2670,"R05DA04, N02AA59, N02AA79",https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/,C,Final,3,,33387367
CYP3A5,cyclosporine,3008,"L04AD01, S01XA18",,C,Provisional,3,,
G6PD,dabrafenib,1424911,NA,https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,C,Final,,Actionable PGx,36049896
HLA-B,dapsone,3108,"D10AX05, J04BA02",,C,Provisional,2A,,
CYP2D6,darifenacin,136198,G04BD10,,C,Provisional,,Actionable PGx,
HTR2A,desvenlafaxine,734064,N06AX23,https://cpicpgx.org/guidelines/cpic-guideline-for-ssri-and-snri-antidepressants/,C,Final,,,37032427
SLC6A4,desvenlafaxine,734064,N06AX23,https://cpicpgx.org/guidelines/cpic-guideline-for-ssri-and-snri-antidepressants/,C,Final,,,37032427
CYP2C8,diclofenac,3355,"D11AX18, M01AB05, M02AA15, S01BC03",https://cpicpgx.org/guidelines/cpic-guideline-for-nsaids-based-on-cyp2c9-genotype/,C,Final,3,,32189324
CYP2C9,diclofenac,3355,"D11AX18, M01AB05, M02AA15, S01BC03",https://cpicpgx.org/guidelines/cpic-guideline-for-nsaids-based-on-cyp2c9-genotype/,C,Final,3,,32189324
ABCB1,digoxin,3407,C01AA05,,C,Provisional,3,,
G6PD,dimercaprol,3445,V03AB09,https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,C,Final,3,,36049896
CYP2D6,dolasetron,68091,A04AA04,,C,Provisional,4,,
G6PD,doxorubicin,3639,L01DB01,https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,C,Final,,,36049896
CYP2C19,duloxetine,72625,N06AX21,https://cpicpgx.org/guidelines/cpic-guideline-for-ssri-and-snri-antidepressants/,C,Final,,,37032427
CYP2D6,duloxetine,72625,N06AX21,https://cpicpgx.org/guidelines/cpic-guideline-for-ssri-and-snri-antidepressants/,C,Final,,Actionable PGx,37032427
HTR2A,duloxetine,72625,N06AX21,https://cpicpgx.org/guidelines/cpic-guideline-for-ssri-and-snri-antidepressants/,C,Final,,,37032427
SLC6A4,duloxetine,72625,N06AX21,https://cpicpgx.org/guidelines/cpic-guideline-for-ssri-and-snri-antidepressants/,C,Final,,,37032427
F5,eltrombopag,711942,B02BX,,C,Provisional,,Actionable PGx,
COMT,escitalopram,321988,N06AB10,,C,Provisional,,,
CYP2D6,escitalopram,321988,N06AB10,https://cpicpgx.org/guidelines/cpic-guideline-for-ssri-and-snri-antidepressants/,C,Final,3,Informative PGx,37032427
GRIK4,escitalopram,321988,N06AB10,,C,Provisional,,,
HTR2A,escitalopram,321988,N06AB10,https://cpicpgx.org/guidelines/cpic-guideline-for-ssri-and-snri-antidepressants/,C,Final,3,,37032427
SLC6A4,escitalopram,321988,N06AB10,https://cpicpgx.org/guidelines/cpic-guideline-for-ssri-and-snri-antidepressants/,C,Final,4,,37032427
CYP2C19,esomeprazole,283742,A02BC05,https://cpicpgx.org/guidelines/cpic-guideline-for-proton-pump-inhibitors-and-cyp2c19/,C,Final,3,Actionable PGx,32770672
TNF,etanercept,214555,L04AB01,,C,Provisional,2B,,
ABCB1,fentanyl,4337,"N01AH01, N02AB03",,C,Provisional,3,,
COMT,fentanyl,4337,"N01AH01, N02AB03",https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/,C,Final,3,,33387367
OPRM1,fentanyl,4337,"N01AH01, N02AB03",https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/,C,Final,3,,33387367
CYP2D6,fesoterodine,797195,G04BD11,,C,Provisional,,Actionable PGx,
CYP2C19,flibanserin,1665509,,,C,Provisional,,Actionable PGx,
CYP2C9,flibanserin,1665509,,,C,Provisional,,Actionable PGx,
CYP2D6,flibanserin,1665509,,,C,Provisional,,Actionable PGx,
CYP2C19,fluoxetine,4493,N06AB03,https://cpicpgx.org/guidelines/cpic-guideline-for-ssri-and-snri-antidepressants/,C,Final,,,37032427
CYP2D6,fluoxetine,4493,N06AB03,https://cpicpgx.org/guidelines/cpic-guideline-for-ssri-and-snri-antidepressants/,C,Final,3,Informative PGx,37032427
GRIK4,fluoxetine,4493,N06AB03,,C,Provisional,,,
HTR2A,fluoxetine,4493,N06AB03,https://cpicpgx.org/guidelines/cpic-guideline-for-ssri-and-snri-antidepressants/,C,Final,4,,37032427
SLC6A4,fluoxetine,4493,N06AB03,https://cpicpgx.org/guidelines/cpic-guideline-for-ssri-and-snri-antidepressants/,C,Final,3,,37032427
CYP3A4,fluvastatin,41127,C10AA04,https://cpicpgx.org/guidelines/cpic-guideline-for-statins/,C,Final,,,
CYP3A5,fluvastatin,41127,C10AA04,https://cpicpgx.org/guidelines/cpic-guideline-for-statins/,C,Final,,,
HMGCR,fluvastatin,41127,C10AA04,https://cpicpgx.org/guidelines/cpic-guideline-for-statins/,C,Final,,,
CYP2C19,fluvoxamine,42355,N06AB08,https://cpicpgx.org/guidelines/cpic-guideline-for-ssri-and-snri-antidepressants/,C,Final,,,37032427
HTR2A,fluvoxamine,42355,N06AB08,https://cpicpgx.org/guidelines/cpic-guideline-for-ssri-and-snri-antidepressants/,C,Final,4,,37032427
SLC6A4,fluvoxamine,42355,N06AB08,https://cpicpgx.org/guidelines/cpic-guideline-for-ssri-and-snri-antidepressants/,C,Final,3,,37032427
G6PD,furazolidone,4601,G01AX06,https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,C,Final,,,36049896
CYP2D6,galantamine,4637,N06DA04,,C,Provisional,3,Informative PGx,
G6PD,gliclazide,4816,A10BB09,https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,C,Final,,,36049896
G6PD,glimepiride,25789,A10BB12,https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,C,Final,,Actionable PGx,
G6PD,glipizide,4821,A10BB07,https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,C,Final,,Actionable PGx,36049896
G6PD,glyburide,4815,A10BB01,https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,C,Final,3,Actionable PGx,36049896
MC4R,haloperidol,5093,N05AD01,,C,Provisional,3,,
F5,hormonal contraceptives for systemic use,,G03A,,C,Provisional,1A,,
COMT,hydrocodone,5489,R05DA03,https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/,C,Final,,,33387367
OPRM1,hydrocodone,5489,R05DA03,https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/,C,Final,3,,33387367
COMT,hydromorphone,3423,N02AA03,https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/,C,Final,,,33387367
OPRM1,hydromorphone,3423,N02AA03,https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/,C,Final,,,33387367
G6PD,hydroxychloroquine,5521,P01BA02,https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,C,Final,,Actionable PGx,36049896
CYP2C8,ibuprofen,5640,"C01EB16, G02CC01, M01AE01, M02AA13",https://cpicpgx.org/guidelines/cpic-guideline-for-nsaids-based-on-cyp2c9-genotype/,C,Final,3,,32189324
CYP2C9,indomethacin,5781,C01EB03,https://cpicpgx.org/guidelines/cpic-guideline-for-nsaids-based-on-cyp2c9-genotype/,C,Final,3,,32189324
TNF,infliximab,191831,L04AB02,,C,Provisional,3,,
NAT2,isoniazid,6038,J04AC01,,C,Provisional,1B,,
HLA-DQA1,lapatinib,480167,L01XE07,,C,Provisional,3,Actionable PGx,
COMT,levomethadone,236913,N07BC05,https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/,C,Final,,,33387367
OPRM1,levomethadone,236913,N07BC05,https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/,C,Final,,,33387367
HTR2A,levomilnacipran,1433212,N06AX28,https://cpicpgx.org/guidelines/cpic-guideline-for-ssri-and-snri-antidepressants/,C,Final,,,37032427
SLC6A4,levomilnacipran,1433212,N06AX28,https://cpicpgx.org/guidelines/cpic-guideline-for-ssri-and-snri-antidepressants/,C,Final,,,37032427
CYP3A4,lovastatin,6472,C10AA02,https://cpicpgx.org/guidelines/cpic-guideline-for-statins/,C,Final,,,
CYP3A5,lovastatin,6472,C10AA02,https://cpicpgx.org/guidelines/cpic-guideline-for-statins/,C,Final,,,
HMGCR,lovastatin,6472,C10AA02,https://cpicpgx.org/guidelines/cpic-guideline-for-statins/,C,Final,,,
CYP2C9,lumiracoxib,,M01AH06,https://cpicpgx.org/guidelines/cpic-guideline-for-nsaids-based-on-cyp2c9-genotype/,C,Final,,,32189324
G6PD,mafenide,6572,NA,https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,C,Final,,Actionable PGx,36049896
G6PD,mepacrine,9061,P01AX05,https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,C,Final,,,36049896
G6PD,mesalazine,52582,A07EC02,https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,C,Final,,,36049896
COMT,methadone,6813,N07BC02,https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/,C,Final,3,,33387367
CYP2D6,methadone,6813,N07BC02,https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/,C,Final,3,,33387367
OPRM1,methadone,6813,N07BC02,https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/,C,Final,3,,33387367
HLA-B,methazolamide,6826,S01EC05,,C,Provisional,2A,,
HLA-C,methazolamide,6826,S01EC05,,C,Provisional,2B,,
HLA-B,methimazole,6835,H03BB02,,C,Provisional,3,,
ABCB1,methotrexate,6851,"L01BA01, L04AX03",,C,Provisional,3,,
MTHFR,methotrexate,6851,"L01BA01, L04AX03",,C,Provisional,2A,,
SLCO1B1,methotrexate,6851,"L01BA01, L04AX03",,C,Provisional,3,,
CYP2D6,methylphenidate,6901,N06BA04,,C,Provisional,3,,
HTR2A,milnacipran,588250,N06AX17,https://cpicpgx.org/guidelines/cpic-guideline-for-ssri-and-snri-antidepressants/,C,Final,,,37032427
SLC6A4,milnacipran,588250,N06AX17,https://cpicpgx.org/guidelines/cpic-guideline-for-ssri-and-snri-antidepressants/,C,Final,,,37032427
CYP2D6,modafinil,30125,N06BA07,,C,Provisional,,Actionable PGx,
COMT,morphine,7052,N02AA01,https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/,C,Final,3,,33387367
OPRM1,morphine,7052,N02AA01,https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/,C,Final,3,,33387367
G6PD,moxifloxacin,139462,"J01MA14, S01AE07",https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,C,Final,,,36049896
CYP2C9,nabumetone,31448,M01AX01,https://cpicpgx.org/guidelines/cpic-guideline-for-nsaids-based-on-cyp2c9-genotype/,C,Final,,,32189324
G6PD,nalidixic acid,7240,J01MB02,https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,C,Final,,Actionable PGx,36049896
OPRM1,naloxone,7242,V03AB15,,C,Provisional,3,,
COMT,naltrexone,7243,N07BB04,https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/,C,Final,,,33387367
OPRM1,naltrexone,7243,N07BB04,https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/,C,Final,4,,33387367
CYP2C9,naproxen,7258,M01AE56,https://cpicpgx.org/guidelines/cpic-guideline-for-nsaids-based-on-cyp2c9-genotype/,C,Final,3,,32189324
ABCB1,nevirapine,53654,J05AG01,,C,Provisional,3,,
HLA-B,nevirapine,53654,J05AG01,,C,Provisional,3,,
HLA-DRB1,nevirapine,53654,J05AG01,,C,Provisional,2B,,
G6PD,nicorandil,31748,C01DX16,https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,C,Final,,,36049896
G6PD,nitrofural,7455,"B05CA03, D08AF01, D09AA03, P01CC02, S01AX04, S02AA02",https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,C,Final,,,36049896
G6PD,norfloxacin,7517,"J01MA06, S01AE02",https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,C,Final,,Actionable PGx,36049896
G6PD,ofloxacin,7623,"J01MA01, S01AE01, S02AA16",https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,C,Final,,,36049896
HTR2C,olanzapine,61381,N05AH03,,C,Provisional,3,,
MC4R,olanzapine,61381,N05AH03,,C,Provisional,3,,
HLA-A,oxcarbazepine,32624,N03AF02,https://cpicpgx.org/guidelines/guideline-for-carbamazepine-and-hla-b/,C,Final,3,,29392710
COMT,oxycodone,7804,N02AA05,https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/,C,Final,3,,33387367
CYP2D6,oxycodone,7804,N02AA05,https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/,C,Final,2A,,33387367
OPRM1,oxycodone,7804,N02AA05,https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/,C,Final,3,,33387367
MC4R,paliperidone,679314,N05AX13,,C,Provisional,3,,
CYP2D6,palonosetron,70561,A04AA05,,C,Provisional,,Informative PGx,
CYP2C19,paroxetine,32937,N06AB05,https://cpicpgx.org/guidelines/cpic-guideline-for-ssri-and-snri-antidepressants/,C,Final,,,37032427
GRIK4,paroxetine,32937,N06AB05,,C,Provisional,,,
HTR2A,paroxetine,32937,N06AB05,https://cpicpgx.org/guidelines/cpic-guideline-for-ssri-and-snri-antidepressants/,C,Final,3,,37032427
SLC6A4,paroxetine,32937,N06AB05,https://cpicpgx.org/guidelines/cpic-guideline-for-ssri-and-snri-antidepressants/,C,Final,3,,37032427
G6PD,phenazopyridine,8120,G04BX06,https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,C,Final,3,,36049896
CYP3A4,pitavastatin,861634,C10AA08,https://cpicpgx.org/guidelines/cpic-guideline-for-statins/,C,Final,,,
CYP3A5,pitavastatin,861634,C10AA08,https://cpicpgx.org/guidelines/cpic-guideline-for-statins/,C,Final,,,
HMGCR,pitavastatin,861634,C10AA08,https://cpicpgx.org/guidelines/cpic-guideline-for-statins/,C,Final,,,
CYP3A4,pravastatin,42463,C10AA03,https://cpicpgx.org/guidelines/cpic-guideline-for-statins/,C,Final,,,
CYP3A5,pravastatin,42463,C10AA03,https://cpicpgx.org/guidelines/cpic-guideline-for-statins/,C,Final,,,
G6PD,probenecid,8698,M04AB01,https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,C,Final,,Actionable PGx,36049896
HLA-B,propylthiouracil,8794,H03BA02,,C,Provisional,3,,
MC4R,quetiapine,51272,N05AH04,,C,Provisional,3,,
CYP2D6,quinidine,9068,C01BA01,,C,Provisional,,Informative PGx,
CYP2D6,quinine,9071,P01BC01,,C,Provisional,,Actionable PGx,
G6PD,quinine,9071,P01BC01,https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,C,Final,,Actionable PGx,36049896
CYP2C19,rabeprazole,114979,A02BC04,https://cpicpgx.org/guidelines/cpic-guideline-for-proton-pump-inhibitors-and-cyp2c19/,C,Final,2A,Actionable PGx,32770672
COMT,remifentanil,73032,N01AH06,https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/,C,Final,3,,33387367
OPRM1,remifentanil,73032,N01AH06,https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/,C,Final,3,,33387367
DRD2,risperidone,35636,N05AX08,,C,Provisional,3,,
HTR2C,risperidone,35636,N05AX08,,C,Provisional,3,,
MC4R,risperidone,35636,N05AX08,,C,Provisional,3,,
CYP2C8,rosiglitazone,84108,A10BG02,,C,Provisional,3,,
CYP3A4,rosuvastatin,301542,C10AA07,https://cpicpgx.org/guidelines/cpic-guideline-for-statins/,C,Final,,,
CYP3A5,rosuvastatin,301542,C10AA07,https://cpicpgx.org/guidelines/cpic-guideline-for-statins/,C,Final,,,
HMGCR,rosuvastatin,301542,C10AA07,https://cpicpgx.org/guidelines/cpic-guideline-for-statins/,C,Final,,,
CYP2D6,sertraline,36437,N06AB06,https://cpicpgx.org/guidelines/cpic-guideline-for-ssri-and-snri-antidepressants/,C,Final,3,,37032427
GRIK4,sertraline,36437,N06AB06,,C,Provisional,,,
HTR2A,sertraline,36437,N06AB06,https://cpicpgx.org/guidelines/cpic-guideline-for-ssri-and-snri-antidepressants/,C,Final,4,,37032427
SLC6A4,sertraline,36437,N06AB06,https://cpicpgx.org/guidelines/cpic-guideline-for-ssri-and-snri-antidepressants/,C,Final,4,,37032427
ABCB1,simvastatin,36567,"C10AA01, C10BA02, C10BX04, A10BH51, C10BA04, C10BX01",,C,Provisional,3,,
CYP3A4,simvastatin,36567,"C10AA01, C10BA02, C10BX04, A10BH51, C10BA04, C10BX01",https://cpicpgx.org/guidelines/cpic-guideline-for-statins/,C,Final,,,
CYP3A5,simvastatin,36567,"C10AA01, C10BA02, C10BX04, A10BH51, C10BA04, C10BX01",https://cpicpgx.org/guidelines/cpic-guideline-for-statins/,C,Final,,,
CYP3A5,sirolimus,35302,L04AA10,,C,Provisional,3,,
G6PD,sodium nitrite,9894,NA,https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,C,Final,,Actionable PGx,36049896
COMT,sufentanil,56795,N01AH03,https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/,C,Final,3,,33387367
OPRM1,sufentanil,56795,N01AH03,https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/,C,Final,3,,33387367
G6PD,sulfacetamide,10169,"D10AF06, S01AB04",https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,C,Final,,,36049896
G6PD,sulfadiazine,10171,J01EC02,https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,C,Final,,Actionable PGx,36049896
G6PD,sulfadimidine,10178,J01EB03,https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,C,Final,,,36049896
G6PD,sulfamethoxazole / trimethoprim,10831,NA,https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,C,Final,4,Actionable PGx,36049896
G6PD,sulfanilamide,10184,"D06BA05, J01EB06",https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,C,Final,,,36049896
G6PD,sulfasalazine,9524,A07EC01,https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,C,Final,3,Actionable PGx,36049896
G6PD,sulfisoxazole,10207,"J01EB05, S01AB02",https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,C,Final,,,36049896
CYP3A4,tacrolimus,42316,"D11AH01, L04AD02",,C,Provisional,1B,,
DPYD,tegafur,4582,"L01BC03, L01BC53",https://cpicpgx.org/guidelines/guideline-for-fluoropyrimidines-and-dpyd/,C,Final,1A,,23988873;29152729
CYP2D6,terbinafine,37801,"D01AE15, D01BA02",,C,Provisional,,Informative PGx,
G6PD,tolazamide,10633,A10BB05,https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,C,Final,,,36049896
G6PD,tolbutamide,10635,"A10BB03, V04CA01",https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,C,Final,,,36049896
CYP2D6,tolterodine,119565,G04BD07,,C,Provisional,3,Actionable PGx,
COMT,tramadol,10689,N02AX02,https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/,C,Final,3,,33387367
OPRM1,tramadol,10689,N02AX02,https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/,C,Final,3,,33387367
G6PD,trametinib,1425099,NA,https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,C,Final,,,36049896
CYP2C19,venlafaxine,39786,N06AX16,https://cpicpgx.org/guidelines/cpic-guideline-for-ssri-and-snri-antidepressants/,C,Final,3,,37032427
GRIK4,venlafaxine,39786,N06AX16,,C,Provisional,,,
HTR2A,venlafaxine,39786,N06AX16,https://cpicpgx.org/guidelines/cpic-guideline-for-ssri-and-snri-antidepressants/,C,Final,3,,37032427
SLC6A4,venlafaxine,39786,N06AX16,https://cpicpgx.org/guidelines/cpic-guideline-for-ssri-and-snri-antidepressants/,C,Final,4,,37032427
HTR2A,vilazodone,1086769,N06AX24,https://cpicpgx.org/guidelines/cpic-guideline-for-ssri-and-snri-antidepressants/,C,Final,,,37032427
SLC6A4,vilazodone,1086769,N06AX24,https://cpicpgx.org/guidelines/cpic-guideline-for-ssri-and-snri-antidepressants/,C,Final,,,37032427
G6PD,vitamin c,1151,"G01AD03, S01XA15",https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,C,Final,,,36049896
G6PD,vitamin k,11258,B02BA,https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,C,Final,,,36049896
CYP2C19,vortioxetine,1455099,N06AX26,https://cpicpgx.org/guidelines/cpic-guideline-for-ssri-and-snri-antidepressants/,C,Final,,,37032427
HTR2A,vortioxetine,1455099,N06AX26,https://cpicpgx.org/guidelines/cpic-guideline-for-ssri-and-snri-antidepressants/,C,Final,,,37032427
SLC6A4,vortioxetine,1455099,N06AX26,https://cpicpgx.org/guidelines/cpic-guideline-for-ssri-and-snri-antidepressants/,C,Final,,,37032427
MC4R,ziprasidone,115698,N05AE04,,C,Provisional,,,
ITPA,"interferon alfa-2b, recombinant",5880,L03AB05,,C/D,Provisional,3,,
CYP3A5,midazolam,6960,N05CD08,,C/D,Provisional,3,,
COMT,nicotine,7407,N07BA01,,C/D,Provisional,3,,
ABCB1,ondansetron,26225,A04AA01,,C/D,Provisional,3,,
UGT2B15,oxazepam,7781,N05BA04,,C/D,Provisional,3,,
FDPS,alendronate,46041,M05BA04,,D,Provisional,,,
GP1BA,aspirin,1191,"A01AD05, B01AC06, B01AC56, C10BX01, C10BX02, C10BX04, C10BX05, C10BX06, C10BX08, M01BA03, N02BA01, N02BA51, N02BA71",,D,Provisional,3,,
LTC4S,aspirin,1191,"A01AD05, B01AC06, B01AC56, C10BX01, C10BX02, C10BX04, C10BX05, C10BX06, C10BX08, M01BA03, N02BA01, N02BA51, N02BA71",,D,Provisional,3,,
PTGS1,aspirin,1191,"A01AD05, B01AC06, B01AC56, C10BX01, C10BX02, C10BX04, C10BX05, C10BX06, C10BX08, M01BA03, N02BA01, N02BA51, N02BA71",,D,Provisional,3,,
APOE,atorvastatin,83367,C10AA05,,D,Provisional,2B,,
CETP,atorvastatin,83367,C10AA05,,D,Provisional,4,,
COQ2,atorvastatin,83367,C10AA05,,D,Provisional,3,,
KIF6,atorvastatin,83367,C10AA05,,D,Provisional,3,,
LDLR,atorvastatin,83367,C10AA05,,D,Provisional,,Informative PGx,
LPA,atorvastatin,83367,C10AA05,,D,Provisional,,,
CRHR1,budesonide,19831,"A07EA06, D07AC09, R01AD05, R03BA02",,D,Provisional,,,
ADORA2A,caffeine,1886,N06BC01,,D,Provisional,3,,
TYMS,capecitabine,194000,L01BC06,,D,Provisional,3,,
ACE,captopril,1998,C09AA01,,D,Provisional,2A,,
EPHX1,carbamazepine,2002,N03AF01,,D,Provisional,3,,
CETP,cerivastatin,596723,C10AA06,,D,Provisional,,,
LPA,cerivastatin,596723,C10AA06,,D,Provisional,,,
EGF,cetuximab,318341,L01XC06,,D,Provisional,3,,
ACYP2,cisplatin,2555,L01XA01,,D,Provisional,3,,
ERCC1,cisplatin,2555,L01XA01,,D,Provisional,3,,
GSTM1,cisplatin,2555,L01XA01,,D,Provisional,3,,
NQO1,cisplatin,2555,L01XA01,,D,Provisional,,,
XPC,cisplatin,2555,L01XA01,,D,Provisional,3,,
FKBP5,citalopram,2556,N06AB04,,D,Provisional,3,,
ANKK1,clozapine,2626,N05AH02,,D,Provisional,,,
GSTP1,cyclophosphamide,3002,L01AA01,,D,Provisional,3,,
NQO1,cyclophosphamide,3002,L01AA01,,D,Provisional,3,,
SOD2,cyclophosphamide,3002,L01AA01,,D,Provisional,3,,
CBR3,daunorubicin,3109,L01DB02,,D,Provisional,,,
HAS3,daunorubicin,3109,L01DB02,,D,Provisional,,,
CBR3,doxorubicin,3639,L01DB01,,D,Provisional,3,,
HAS3,doxorubicin,3639,L01DB01,,D,Provisional,,,
NQO1,doxorubicin,3639,L01DB01,,D,Provisional,,,
SERPINC1,eltrombopag,711942,B02BX,,D,Provisional,,Actionable PGx,
CBR3,epirubicin,3995,L01DB03,,D,Provisional,3,,
GSTP1,epirubicin,3995,L01DB03,,D,Provisional,3,,
HAS3,epirubicin,3995,L01DB03,,D,Provisional,,,
NQO1,epirubicin,3995,L01DB03,,D,Provisional,3,,
DYNC2H1,etoposide,4179,L01CB01,,D,Provisional,3,,
GSTP1,fluorouracil,4492,"L01BC02, L01BC52",,D,Provisional,3,,
NQO1,fluorouracil,4492,"L01BC02, L01BC52",,D,Provisional,3,,
TYMS,fluorouracil,4492,"L01BC02, L01BC52",,D,Provisional,3,,
UMPS,fluorouracil,4492,"L01BC02, L01BC52",,D,Provisional,3,,
FKBP5,fluoxetine,4493,N06AB03,,D,Provisional,3,,
CRHR1,fluticasone propionate,50121,"D07AC17, R01AD08, R03BA05",,D,Provisional,,,
CRHR1,fluticasone/salmeterol,284635,,,D,Provisional,,,
